id,quote,review,Airline_name
rn617468583,Low cost with nice staff,"
Low cost so no extras, but cheap flights and friendly staff. Hand baggage procedure is strange but fair (without extra fee cabin trollies may be carried, but not in the cabin. They are being carried in the bagagge compartment).
",Lauda Motion GmbH
rn617346155,Gangsters!! Avoid at all cost!,"
Complete racket! Laudaair force me to check-in with Ryanair website / app but both have been down for days so I can' do that. At the airport counter they want to charge me 55 Euros extra ""for airport check-in"" - that alone is ridiculous but considering the situations even more so, so I complain but they brush me off like...
",Lauda Motion GmbH
rn615211610,Money extortion,"
Ryanair/Laudamotion closed online registration at Ryanair website two hours before the flight (or maybe even earlier).
I received no email or any other communication prior to the flight with a link or at list a reminder to check-in. And on getting to check-in at the airport I had to pay 55 EUR - just to get a boarding card, nothing...
",Lauda Motion GmbH
rn613718375,FLIGHT FROM PAPHOS TO VIENNA,"
it's a low cost airline. We had travel from Cyprus to Vienna. The flights were very good. The staff were helpful. We didn't buy our seats but we were sitting next to each other. I will fly again with that airline.
",Lauda Motion GmbH
rn610949024,Flight cancelled at last minute and impossible to get refund,"
Laudamotion wrote me I could apply for refund online, unfortunately their refund process redirect you to Ryanair page, which accept only applications for Ryanair flights, so it's impossible to get a refund, and via email they never answer to me.
Since Ryanair is trying to be a barely respectable company they use Laudamotion for the scams.
The flight was cancelled...
",Lauda Motion GmbH
rn608903594,"Avoid at all costs, I honestly wouldn't fly with them for free...","
Lauda cancelled my flight to Dusseldorf (where i was supposed to catch a connecting flight to Manchester) after a 12 hour delay in which i was given no food or drink, all we had was 'cancelled' come up on the flight boards without a single representative to help rearrange travel. After about another 2 hour wait the airport staff declared...
",Lauda Motion GmbH
rn608155157,Most horrible flight we ever had.,"
Most horrible flight Ì`ve flew with by a mile. No leg room, horrible seats and the most terrible service ever.
Got a ticket online and nowhere specified we should check in online, so when we didnt we had to pay a `fine` of 55 euros each person for not checking in online. The joke is, we went to the airport...
",Lauda Motion GmbH
rn608103715,"Bad service, questionnable logistics","
Before boarding they labelled all luggage pieces (hand luggage!) to then sort them out and load them in the plane's trunk. Baggage was handled poorly - my suitcase broke because of staff throwing luggage from above through a slide just to let it drop directly on the floor - plane above was empty space wise! Never again!
",Lauda Motion GmbH
rn605620336,Not again,"
Let me first say I'm not at all the kinda person the give a negative review easily, but for now I feel like I have to.
Our flight to Palma from Dusseldorf (OE300) went fine. We arrived on time and the flight went smooth. The problems started on our way home. There was a thunderstorm above the airport of Palma...
",Lauda Motion GmbH
rn603811410,Never ever use this company,"
It would take thousands of words to explain all that went wrong during our flight back from vacation. In short, totally unprofessional service when managing the cancelled flight. It took 24h to go back home. They offered us another destination ensuring that a transport would be ready to pick us from an airport located 2h drive from our actual destination,...
",Lauda Motion GmbH
rn601149936,Extra fees,"
We flew from Vienna to Pisa and didn’t have any problems! When arriving to do our return flight they told us we had to print our own boarding passes because the policy had just changed. It was going to cost 20 euro each! Crazy! At least we were able to download them on our phones thanks to the WiFi in...
",Lauda Motion GmbH
rn600306164,Never again!!!,"
Initially, we were delighted by the punctuality of the check-in. The lady was very kind with me&my hisband, she has also fulfilled our request of sitting next to each other on the plane. The trouble started on the plane - more than one hour of delay with no proper communication. Moreover, after landing far after 11pm, we waited endlessly for...
",Lauda Motion GmbH
rn600115984,Horrible,"
This airline holds you hostage to wait for your luggage with no explanation or even a customer service representative at the baggage claim.
DO NOT FLY WITH LAUDA!!!
",Lauda Motion GmbH
rn597275110,Everythink is possible when your employees are customer oriented,"
All of my troubles started when I wanted to make online check into our flight. I bought our passes through Ryanair portal. Although I did it with priority boarding and reserved seats I coudn´t do it online checkin with my previously reserved seats. It cost me a lot of nerves because I didn´t want to sit randomly when I already...
",Lauda Motion GmbH
rn597229164,Worst carrier in Europe. Avoid !,"
Our flight oe221 from Malpensa to Tegel on July 15th was cancelled and our return from milano took more than 17 hours.
Who would believe that in 2018 it is possible to be stuck for almost a day on such a simple 1h15 mns connection between 2 of the most important town in Europe. 160 passengers suffered from a total...
",Lauda Motion GmbH
rn595775073,Returnflight just as bad,"
The departure was not announced of the info boards, one had to ask info for the checkin desk. The flight was delayed and then when the gate opened the priority boarding was not used so anyone who paid did so for nothing.
",Lauda Motion GmbH
rn595774675,Laudamotion operated by Ryanair not be recommended.,"
The bagdrop took about 45 minutes, checkin only opened 1h30 before the flight wa scheduled to leave. The departure was not announced of the info boards, one had to ask info for the checkin desk. Only 2 desks were manned, 1 with a new staff member who was not capable to work on his own.
The flight was delayed and...
",Lauda Motion GmbH
rn594078310,Avoid this company!!! ,"
Delayed both flights there and back from and to Wien, on the last moment changed boarding port, on board totally confused staff, mess, duplicated boarding passes... You can buy priority, but it is only a trap for your money. Every one can bring your suitcase, therefore is totally overfull boxes, no matter priority passengers. No more!!!
",Lauda Motion GmbH
rn593076961,Actual flight fine....but:,"
Gate desk was late/ unhelpful. But even more bothersome was how totally garbage filled the plane was. Apple cores, plastic sandwich boxes, empty water and coke bottles, etc littered the floor, seats and pockets. And flight attendants were “bothered” w being handed the items for the garbage.
",Lauda Motion GmbH
rn592974561,Normal flight for low price,"
Regular flight on low cost airline. Great price in summer promo event. Had little delay but still everything was as expected duing the flight.
",Lauda Motion GmbH
rn592001926,Horrible Run Airline,"
I first booked a flight on Laudamotion from Palma to Zurich only to get a email a month before that service has been cancelled and to get refund. So I was going to try Laudamotion again from Dusseldorf to Palma.
Lets start with first the plane was not even a Luadamotion plane but a plane and crew of Ryanair and...
",Lauda Motion GmbH
rn591601733,Flight from Mallorca,"
Nice afternoon flight form mallorca to berlin. Flight was on time. Crew was from ex Air Berlin. We had priority boarding with carry on anf everything was just great.
",Lauda Motion GmbH
rn590314721,1 hour 30 delay in an Airport that is a construction site,"
There was only one lady at the gate and no indication on the screen where and how long to wait for the flight to board. The lady kindly tried to answer all our questions and the lady from
Laudamotion mentioned that this happens almost every second day that the airplanes are not in time. All the cafes at the gate...
",Lauda Motion GmbH
rn590291402,Very good experience. No problems at all,"
Despite the bad reviews for this airline, I haven’t faced any problems in my trip. Check-in was just fine and the airplane departed on time in my both journeys.
The flights were smooth and pleasant (congrats to the pilots!).
Flight attendants were friendly. It was the first time I saw flight attendants in jean trousers(!) but they were neat.
As...
",Lauda Motion GmbH
rn589299434,Suprisingly good experience,"
It was my first experience with this airline and I was suprised how good it was. There was actually much more legroom (compared to other budget airlines), the staff was nice although you can tell that some of the crew members did not have much of experience.
",Lauda Motion GmbH
rn587781527,Good budget airline!,"
Good budget airline!
No frills (no free drinks nor food) like most budget airlines.
Free entertainment on the cabin monitors. Same channel for all monitors. No free headphones to hear it.
Seats were more comfortable than Germanwings and Eurowings, with the same leg room.
",Lauda Motion GmbH
